Team,Game Date,Home,GP,W,L,T,OT,P,P%,PP Opp,PP GF,SH GA,PP GD,PP TOI/GP,PP Opp/GP,PP GF/GP,SH GA/GP,PP GD/GP,PP%,Net PP%
New York Islanders,8/1/2020,1,1,1,0,--,--,2,1,3,1,0,1,4:55,3,1,0,1,33.3,33.3
New York Rangers,8/1/2020,0,1,0,1,--,--,0,0,7,0,0,0,12:08,7,0,0,0,0,0
Pittsburgh Penguins,8/1/2020,1,1,0,1,--,--,0,0,7,1,0,1,12:03,7,1,0,1,14.3,14.3
Montreal Canadiens,8/1/2020,0,1,1,0,--,--,2,1,2,0,0,0,4:00,2,0,0,0,0,0
Carolina Hurricanes,8/1/2020,1,1,1,0,--,--,2,1,7,1,1,0,10:23,7,1,1,0,14.3,0
Florida Panthers,8/1/2020,0,1,0,1,--,--,0,0,1,0,0,0,2:00,1,0,0,0,0,0
Chicago Blackhawks,8/1/2020,0,1,1,0,--,--,2,1,6,3,0,3,7:56,6,3,0,3,50,50
Calgary Flames,8/1/2020,1,1,1,0,--,--,2,1,4,2,0,2,6:05,4,2,0,2,50,50
Edmonton Oilers,8/1/2020,1,1,0,1,--,--,0,0,4,3,0,3,4:38,4,3,0,3,75,75
Winnipeg Jets,8/1/2020,0,1,0,1,--,--,0,0,7,0,1,-1,13:15,7,0,1,-1,0,-14.3
Philadelphia Flyers,8/2/2020,0,1,1,0,--,--,2,1,2,0,0,0,4:00,2,0,0,0,0,0
Boston Bruins,8/2/2020,1,1,0,1,--,--,0,0,3,0,0,0,6:00,3,0,0,0,0,0
Toronto Maple Leafs,8/2/2020,1,1,0,1,--,--,0,0,1,0,0,0,2:00,1,0,0,0,0,0
Nashville Predators,8/2/2020,1,1,0,1,--,--,0,0,5,2,1,1,7:52,5,2,1,1,40,20
St. Louis Blues,8/2/2020,0,1,0,1,--,--,0,0,4,1,0,1,6:17,4,1,0,1,25,25
Colorado Avalanche,8/2/2020,1,1,1,0,--,--,2,1,5,1,0,1,9:14,5,1,0,1,20,20
Vancouver Canucks,8/2/2020,1,1,0,1,--,--,0,0,1,0,0,0,2:00,1,0,0,0,0,0
Columbus Blue Jackets,8/2/2020,0,1,1,0,--,--,2,1,2,0,0,0,4:00,2,0,0,0,0,0
Minnesota Wild,8/2/2020,0,1,1,0,--,--,2,1,4,2,0,2,4:34,4,2,0,2,50,50
Arizona Coyotes,8/2/2020,0,1,1,0,--,--,2,1,6,1,0,1,10:35,6,1,0,1,16.7,16.7
New York Rangers,8/3/2020,0,1,0,1,--,--,0,0,4,1,0,1,6:38,4,1,0,1,25,25
Pittsburgh Penguins,8/3/2020,1,1,1,0,--,--,2,1,5,0,0,0,9:20,5,0,0,0,0,0
Montreal Canadiens,8/3/2020,0,1,0,1,--,--,0,0,3,0,0,0,3:46,3,0,0,0,0,0
Carolina Hurricanes,8/3/2020,1,1,1,0,--,--,2,1,4,1,0,1,5:24,4,1,0,1,25,25
Tampa Bay Lightning,8/3/2020,1,1,1,0,--,--,2,1,0,0,0,0,0:00,0,0,0,0,--,--
Washington Capitals,8/3/2020,0,1,0,0,--,--,1,0.5,4,1,0,1,4:49,4,1,0,1,25,25
Chicago Blackhawks,8/3/2020,0,1,0,1,--,--,0,0,4,0,0,0,7:58,4,0,0,0,0,0
Calgary Flames,8/3/2020,1,1,0,1,--,--,0,0,6,0,0,0,10:31,6,0,0,0,0,0
Edmonton Oilers,8/3/2020,1,1,1,0,--,--,2,1,5,1,0,1,8:40,5,1,0,1,20,20
Dallas Stars,8/3/2020,0,1,0,1,--,--,0,0,1,1,0,1,1:35,1,1,0,1,100,100
Winnipeg Jets,8/3/2020,0,1,1,0,--,--,2,1,6,1,0,1,8:43,6,1,0,1,16.7,16.7
Vegas Golden Knights,8/3/2020,1,1,1,0,--,--,2,1,2,0,0,0,4:00,2,0,0,0,0,0
New York Islanders,8/4/2020,1,1,1,0,--,--,2,1,7,2,0,2,10:02,7,2,0,2,28.6,28.6
New York Rangers,8/4/2020,1,1,0,1,--,--,0,0,3,0,1,-1,5:31,3,0,1,-1,0,-33.3
Toronto Maple Leafs,8/4/2020,1,1,1,0,--,--,2,1,5,0,0,0,10:00,5,0,0,0,0,0
Carolina Hurricanes,8/4/2020,0,1,1,0,--,--,2,1,3,0,0,0,6:00,3,0,0,0,0,0
Florida Panthers,8/4/2020,0,1,0,1,--,--,0,0,3,1,0,1,2:12,3,1,0,1,33.3,33.3
Nashville Predators,8/4/2020,1,1,1,0,--,--,2,1,4,1,0,1,5:25,4,1,0,1,25,25
Calgary Flames,8/4/2020,0,1,1,0,--,--,2,1,4,3,0,3,4:24,4,3,0,3,75,75
Vancouver Canucks,8/4/2020,1,1,1,0,--,--,2,1,7,1,1,0,12:51,7,1,1,0,14.3,0
Columbus Blue Jackets,8/4/2020,0,1,0,1,--,--,0,0,4,0,0,0,8:00,4,0,0,0,0,0
Minnesota Wild,8/4/2020,0,1,0,1,--,--,0,0,6,0,0,0,11:34,6,0,0,0,0,0
Winnipeg Jets,8/4/2020,1,1,0,1,--,--,0,0,2,1,0,1,2:09,2,1,0,1,50,50
